gene_id	gene_name	n_reactions	reaction_ids
PST_3800	G_PST_3800	14	rxn10236;rxn10235;rxn09198;rxn09199;rxn10233;rxn09202;rxn10237;rxn09201;rxn10879;rxn10232;rxn09197;rxn09203;rxn10234;rxn09200
PST_0081	G_PST_0081	2	rxn02003;rxn02440
PST_3286	G_PST_3286	2	rxn02003;rxn02440
PST_2880	G_PST_2880	2	rxn02003;rxn02440
PST_0871	G_PST_0871	1	rxn01893
PST_2537	G_PST_2537	3	rxn00849;rxn00191;rxn00499
PST_2676	G_PST_2676	1	R00093
PST_0034	G_PST_0034	1	rxn05026
PST_0489	G_PST_0489	2	rxn01134;rxn05026
PST_3693	G_PST_3693	1	R00029
PST_2843	G_PST_2843	1	R00029
PST_3694	G_PST_3694	1	R00029
PST_3695	G_PST_3695	1	R00029
PST_0200	G_PST_0200	2	rxn01827;rxn00999
PST_0870	G_PST_0870	1	rxn01825
PST_0872	G_PST_0872	1	rxn02276
PST_0400	G_PST_0400	1	rxn00993
PST_2763	G_PST_2763	2	rxn00560;rxn00002
PST_1578	G_PST_1578	1	rxn00120
PST_1360	G_PST_1360	1	R00274
PST_1129	G_PST_1129	1	R00274
PST_2535	G_PST_2535	1	R00274
PST_4062	G_PST_4062	3	rxn06377;rxn06493;rxn00908
PST_4063	G_PST_4063	3	rxn06600;rxn00908;rxn06493
PST_3475	G_PST_3475	1	R01668
PST_3254	G_PST_3254	1	rxn00383
PST_3253	G_PST_3253	1	rxn00383
PST_3870	G_PST_3870	1	rxn14250
PST_1737	G_PST_1737	1	R00022
PST_0730	G_PST_0730	1	rxn13990
PST_2247	G_PST_2247	1	R00103
PST_0193	G_PST_0193	1	rxn00342
PST_1494	G_PST_1494	1	rxn00962
PST_2807	G_PST_2807	1	rxn00965
PST_0180	G_PST_0180	1	rxn04786
PST_0181	G_PST_0181	1	rxn04787
PST_0179	G_PST_0179	1	rxn04788
PST_0178	G_PST_0178	1	rxn07840
PST_3550	G_PST_3550	2	rxn22447;rxn11937
PST_0398	G_PST_0398	2	rxn01101;R11337
PST_1815	G_PST_1815	1	rxn00738
PST_3877	G_PST_3877	6	rxn01466;rxn05287;rxn03891;rxn03892;rxn12008;rxn01213
PST_3705	G_PST_3705	6	rxn01466;rxn05287;rxn03891;rxn03892;rxn12008;rxn01213
PST_0955	G_PST_0955	6	rxn01466;rxn05287;rxn03891;rxn03892;rxn12008;rxn01213
PST_1368	G_PST_1368	1	rxn00541
PST_1799	G_PST_1799	1	rxn00541
PST_0689	G_PST_0689	2	rxn00985;rxn00225
PST_1127	G_PST_1127	2	rxn00985;rxn00225
PST_2195	G_PST_2195	1	rxn01199
