metabolites_id,reaction_id,name,reaction_string,subsystem,lower_bound,upper_bound,formula,charge,compartment
dhlpyprot[c],r_0577,Dihydrolipoylprotein,s8ams[c] + thf[c] <=> dhlpyprot[c] + mlthf[c] + nh3[c],One carbon pool by folate,-1000.0,1000.0,C8H16NOS2R,0,c
fa[c],r_0581,Folinic acid,atp[c] + fa[c] --> adp[c] + e[c] + methf[c] + pi[c],One carbon pool by folate,0.0,1000.0,C20H21N7O7,-2,c
fa[c],r_0580,Folinic acid,h2o[c] + methf[c] <=> fa[c],One carbon pool by folate,-1000.0,1000.0,C20H21N7O7,-2,c
qun[c],r_0846,Quinone,qun[c] + sng3p[c] --> dhap[c] + hqn[c],[],0.0,1000.0,R,0,c
qun[c],r_0586,Quinone,2.0 ficytC[c] + hqn[c] --> 2.0 focytC[c] + 2.0 h[c] + qun[c],Oxidative Phosphorylation,0.0,1000.0,R,0,c
qun[c],r_0583,Quinone,h[c] + nadh[c] + qun[c] --> hqn[c] + nad[c],Oxidative Phosphorylation,0.0,1000.0,R,0,c
qun[c],r_0798,Quinone,h[c] + nadph[c] + qun[c] --> hqn[c] + nadp[c],Aminobenzoate degradation,0.0,1000.0,R,0,c
qun[c],r_0622,Quinone,dhor__S[c] + qun[c] <=> hqn[c] + orot[c],Pyrimidine Metabolism,-1000.0,1000.0,R,0,c
hqn[c],r_0846,Hydroquinone,qun[c] + sng3p[c] --> dhap[c] + hqn[c],[],0.0,1000.0,C6H6O2,0,c
hqn[c],r_0586,Hydroquinone,2.0 ficytC[c] + hqn[c] --> 2.0 focytC[c] + 2.0 h[c] + qun[c],Oxidative Phosphorylation,0.0,1000.0,C6H6O2,0,c
hqn[c],r_0583,Hydroquinone,h[c] + nadh[c] + qun[c] --> hqn[c] + nad[c],Oxidative Phosphorylation,0.0,1000.0,C6H6O2,0,c
hqn[c],r_0798,Hydroquinone,h[c] + nadph[c] + qun[c] --> hqn[c] + nadp[c],Aminobenzoate degradation,0.0,1000.0,C6H6O2,0,c
hqn[c],r_0622,Hydroquinone,dhor__S[c] + qun[c] <=> hqn[c] + orot[c],Pyrimidine Metabolism,-1000.0,1000.0,C6H6O2,0,c
r3mmal[c],r_0589,D-erythro-3-Methylmalate,nad[c] + r3mmal[c] --> 2obut[c] + co2[c] + nadh[c],"Valine, Leucine and Isoleucine Biosynthesis",0.0,1000.0,C5H6O5,-2,c
