current_id,name,reaction_string,subsystem,lower_bound,upper_bound
r_0873,,fad[c] + h2o[c] + sql[c] <=> fadh2[c] + hdsl[c],[],-1000.0,1000.0
r_0874,,sql[c] <=> dptne[c],Sesquiterpenoid and triterpenoid biosynthesis,-1000.0,1000.0
r_0875,,arsni[c] + trdrd[c] <=> aso3[c] + h2o[c] + trdox[c],[],-1000.0,1000.0
r_0876,,arsni[c] + glutrd[c] <=> aso3[c] + flutox[c],[],-1000.0,1000.0
r_0877,,accoa[c] + succoa[c] <=> coa[c] + oxadpcoa[c],Benzoate degradation,-1000.0,1000.0
r_0878,,4cml[c] <=> 5odhf2a[c] + co2[c],Benzoate degradation,-1000.0,1000.0
r_0879,,34dhbz[c] + o2[c] <=> CCbuttc[c],Benzoate degradation,-1000.0,1000.0
r_0880,,4cml[c] <=> CCbuttc[c],Benzoate degradation,-1000.0,1000.0
r_0881,,3hmp[c] + nad[c] --> 2mop[c] + h[c] + nadh[c],[],0.0,1000.0
r_0882,,4h2kpi[c] <=> pyr[c] + sucsal[c],[],-1000.0,1000.0
r_0883,,34dhpacet[c] + o2[c] <=> 5cmhmsa[c],Tyrosine metabolism,-1000.0,1000.0
r_0884,,mana[c] <=> 2ddglcn[c] + h2o[c],Pentose and glucuronate interconversions,-1000.0,1000.0
r_0885,,atp[c] + pty[c] --> adp[c] + e[c] + ptyp[c],[],0.0,1000.0
r_0886,,g1p[c] + utp[c] <=> ppi[c] + udpg[c],Pentose and glucuronate interconversions,-1000.0,1000.0
r_0887,,5dh4dglcn[c] <=> 46dh25dohxn[c],Pentose and glucuronate interconversions,-1000.0,1000.0
r_0888,,2ddglcn[c] + nad[c] --> 46dh25dohxn[c] + h[c] + nadh[c],Pentose and glucuronate interconversions,0.0,1000.0
r_0889,,uacgam[c] <=> h2o[c] + udp2aca26ddarah4[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0890,,24b246tbap[c] + h2o[c] + pep[c] <=> pi[c] + psea[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0891,,accoa[c] + u4a46dnabla[c] <=> coa[c] + u24b246tbla[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0892,,ctp[c] + psea[c] <=> cmppsea[c] + ppi[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0893,,akg[c] + u4a46dnabla[c] <=> glu__L[c] + udp2aca26ddarah4[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0894,,h2o[c] + rpntp[c] <=> ppi[c] + prpmn[c],Phosphonate and phosphinate metabolism,-1000.0,1000.0
r_0895,,h2o2[c] + racptr[c] <=> acptr[c] + 2.0 h2o[c],[],-1000.0,1000.0
r_0896,,1pqq[c] + 3.0 o2[c] <=> 2.0 h2o2[c] + 2.0 h2o[c] + pqq[c],[],-1000.0,1000.0
r_0897,,atp[c] + ru5p__D[c] --> adp[c] + rb15bp[c],Carbon metabolism,0.0,1000.0
r_0898,,atp[c] + h2o[c] + mg2[c] --> adp[c] + h[c] + mg2[e] + pi[c],[],0.0,1000.0
r_0901,,fmn[c] + h[c] + nadh[c] <=> fmnh2[c] + nad[c],Riboflavin Metabolism,-1000.0,1000.0
r_0902,,pl[c] <=> ,Transport,-1000.0,1000.0
r_0903,,thbpt[c] <=> ,Transport,-1000.0,1000.0
r_0904,,nad[c] + pphn[c] <=> 34hpp[c] + co2[c] + h[c] + nadh[c],Phenylalanine Tyrosine Tryptophan Biosynthesis,-1000.0,1000.0
r_0905,,Largn[c] + oaa[c] <=> asp__L[c] + pphn[c],Phenylalanine Tyrosine Tryptophan Biosynthesis,-1000.0,1000.0
r_0906,,nadp[c] + pre6b[c] <=> h[c] + nadph[c] + pre6a[c],Porphyrin and Chlorophyll Metabolism,-1000.0,1000.0
r_0907,,2.0 amet[c] + pre6b[c] <=> 2.0 ahcys[c] + co2[c] + pre8[c],Porphyrin and Chlorophyll Metabolism,-1000.0,1000.0
r_0908,,2.0 atp[c] + 2.0 gln__L[c] + 2.0 h2o[c] + hgbyr[c] <=> 2.0 adp[c] + 2.0 glu__L[c] + hgbam[c] + 2.0 pi[c],Porphyrin and Chlorophyll Metabolism,-1000.0,1000.0
r_0909,,cobalt2[c] <=> ,Transport,-1000.0,1000.0
r_0910,,cob2nda[c] --> ,Transport,0.0,1000.0
r_0911,,4adcho[c] <=> 4abz[c] + pyr[c],Folate Biosynthesis,-1000.0,1000.0
r_0912,,cpmp[c] --> ,Transport,0.0,1000.0
r_0913,,preq1[c] --> ,Transport,0.0,1000.0
r_0914,,h2o[c] + u24b246tbla[c] <=> 24b246tbap[c] + udp[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0915,,cmppsea[c] --> ,Transport,0.0,1000.0
r_0916,,uamr[c] --> ,Transport,0.0,1000.0
r_0917,,accoa[c] + gam1p[c] <=> acgam1p[c] + coa[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0918,,acgam[c] + atp[c] <=> acgam6p[c] + adp[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0919,,chitob[c] --> ,Transport,0.0,1000.0
r_0921,,cys__L[c] + so3[c] <=> Lcyst[c] + h2s[c],Cysteine and Methionine Metabolism,-1000.0,1000.0
r_0922,,3sulac[c] <=> hso3[c] + pyr[c],Cysteine and Methionine Metabolism,-1000.0,1000.0
r_0923,,Lcyst[c] + h2o[c] <=> h[c] + hso3[c] + nh3[c] + pyr[c],Cysteine and Methionine Metabolism,-1000.0,1000.0
r_0924,,glu[c] --> ,Transport,0.0,1000.0
r_0925,,dms[c] --> ,Transport,0.0,1000.0
r_0926,,nalhsrln[c] --> ,Transport,0.0,1000.0
r_0927,,5mtr[c] --> ,Transport,0.0,1000.0
r_0928,,5a4icam[c] --> ,Transport,0.0,1000.0
r_0929,,dgtp[c] <=> dna[c],Purine Metabolism,-1000.0,1000.0
r_0930,,dztp[c] <=> dna[c],Purine Metabolism,-1000.0,1000.0
r_0931,,asp__L[c] + atp[c] + dgmp[c] <=> adp[c] + dsmp[c] + pi[c],Purine Metabolism,-1000.0,1000.0
r_0932,,h2o[c] + o2[c] + urate[c] <=> 5hiu[c] + h2o2[c],Purine Metabolism,-1000.0,1000.0
r_0934,,alla[c] + h2o[c] <=> co2[c] + nh3[c] + urdgci[c],Purine Metabolism,-1000.0,1000.0
r_0935,,dmgly[c] --> ,Transport,0.0,1000.0
r_0936,,dhlpyprot[c] + nad[c] <=> h[c] + lprot[c] + nadh[c],"Glycine, Serine, and Threonine Metabolism",-1000.0,1000.0
r_0937,,athr__L[c] + nadp[c] --> 2aobut[c] + h[c] + nadph[c],"Glycine, Serine, and Threonine Metabolism",0.0,1000.0
r_0938,,24dab[c] --> ,Transport,0.0,1000.0
r_0939,,aspsa[c] + glu__L[c] <=> 24dab[c] + akg[c],"Glycine, Serine, and Threonine Metabolism",-1000.0,1000.0
r_0940,,ecto__L[c] <=> ,Transport,-1000.0,1000.0
r_0941,,ptcys[c] --> ,Transport,0.0,1000.0
r_0942,,pap[c] --> ,Transport,0.0,1000.0
r_0943,,atp[c] + pnto__R[c] <=> 4ppan[c] + adp[c],Pantothenate and CoA Biosynthesis,-1000.0,1000.0
